sep=;
"id";"category";"name";"description";"acceptance_criteria";"test_cases";"automated";"created_at";"updated_at"
"AK-01";"Abnahmekriterium";"Marktnachweis";"Die Marktanalyse (L-02) weist einen adressierbaren Markt für self-hosted Kommunikationslösungen in Deutschland nach. Nachweispflicht umfasst: quantifizierte Marktgröße (TAM/SAM/SOM), identifizierte Zielgruppensegmente mit konkretem Bedarf sowie Wettbewerberanalyse mit Positionierungslücke. Abnahme durch Gutachter nach Sichtung des Marktanalysedokuments.";"1) Marktanalyse mit mind. 5 Wettbewerbern vorhanden
2) Quantifizierte Marktgröße (z.B. Zahl KMU in DE)
3) DSGVO-Problematik der Wettbewerber belegt
4) Relevanz der Zielgruppe begründet";"Prüfung: Marktanalyse-Dokument vorhanden und abgegeben
Prüfung: Mindestens 1 Marktgrößen-Quelle zitiert
Prüfung: Betreuer bestätigt Marktrelevanz";"0";"2026-03-30 03:49:11";"2026-03-30 03:49:11"
"AK-02";"Abnahmekriterium";"Alleinstellungsmerkmale";"Dokumentierte Alleinstellungsmerkmale (USPs) gegenüber bestehenden Lösungen (Slack, MS Teams, Zoom). Mindestens 3 klar formulierte und belegte USPs, z. B.: (1) Vollständige Datensouveränität – alle Daten on-premises in Deutschland, (2) Zero-Vendor-Lock-in durch 100 % Open Source ohne Lizenzgebühren, (3) integriertes All-in-One-Paket (Chat + Video + Dateiablage) ohne Cloud-Abhängigkeit, (4) DSGVO-Konformität by Design.";"1) Mind. 3 Alleinstellungsmerkmale klar formuliert
2) Jeder USP direkt gegenüber Teams/Slack/Zoom abgegrenzt
3) USPs technisch und wirtschaftlich begründet
4) USP-Tabelle im Lastenheft und Bericht enthalten";"Prüfung: USP-Tabelle mind. 3 Einträge
Prüfung: Jeder USP hat Abgrenzung zur Konkurrenz
Prüfung: Betreuer-Feedback: USPs überzeugend
T: In Präsentation explizit benannt";"0";"2026-03-30 03:49:11";"2026-03-30 03:49:11"
"AK-03";"Abnahmekriterium";"Technische Machbarkeit";"Nachweis der technischen Umsetzbarkeit durch Systemarchitektur-Dokumentation (L-05) und lauffähigen Prototyp (L-03). Darstellung eingesetzter Technologien mit Reifegrad und Begründung der Technologiewahl gegenüber Alternativen. Skalierungsnachweis durch dokumentierte Load-Test-Ergebnisse (mindestens 10 simultane Nutzer ohne Fehler). Abnahme nach Live-Demo und Architekturbesprechung.";"1) Alle eingesetzten Technologien produktionsreif und verfügbar
2) Architektur-Dokumentation vorhanden
3) Prototyp demonstriert technische Umsetzbarkeit
4) Keine experimentellen/Alpha-Abhängigkeiten";"T1: docker compose up → alle Services starten ohne Fehler
Prüfung: Alle verwendeten Images haben stabile Release-Tags
Prüfung: Architekturdiagramm stimmt mit Implementierung überein
T2: Demo-Szenario vollständig durchführbar";"1";"2026-03-30 03:49:11";"2026-03-30 03:49:11"
"AK-04";"Abnahmekriterium";"Prototyp-Betrieb";"Der Prototyp ist vollständig deployed und per HTTPS erreichbar auf einem Linux-Server (k3s-Cluster, Ubuntu 24.04). Alle Komponenten sind Open Source; proprietäre Abhängigkeiten (Microsoft, Google Cloud, AWS, Zoom) sind ausgeschlossen und nachweislich nicht vorhanden (DNS-Check, Netzwerkanalyse). Abnahme durch Live-Demo: Login, Nachricht senden, Videocall starten, Datei hochladen – alles ohne externe Dienste.";"1) Prototyp startet auf Linux-Server via docker compose up
2) Keine proprietären Cloud-Abhängigkeiten
3) setup.sh --check bestanden
4) Alle Kern-Features (FA-01 bis FA-07) live demonstrierbar
5) Betrieb auf WSL2 ebenfalls möglich";"T1: Fresh Ubuntu VM → docker compose up → System läuft
T2: setup.sh --check → Exit 0
T3: nmap → keine externen Dienste benötigt
T4: Demo: DM, Video-Call, Datei-Upload, User-Login live
T5: WSL2-Test → System startet ohne Fehler";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"AK-05";"Abnahmekriterium";"Geschäftsmodell";"Das Geschäftsmodell (L-04) ist vollständig ausgearbeitet und bewertet. Abnahmekriterien: Business-Model-Canvas vollständig ausgefüllt, Einnahmequellen plausibel mit Zahlen hinterlegt, Break-even-Analyse vorhanden und rechnerisch nachvollziehbar, wirtschaftliche Tragfähigkeit begründet argumentiert. Bewertet durch Gutachter nach Vorlage des Geschäftsmodell-Dokuments.";"1) Geschäftsmodell-Dokument vollständig
2) Mind. 2 Szenarien (z.B. Managed Service, Einmal-Implementierung)
3) Kostenstruktur plausibel kalkuliert
4) Zielgruppe klar definiert";"Prüfung: Geschäftsmodell-Dokument abgegeben
Prüfung: Kostenrechnung nachvollziehbar
Prüfung: Mind. 2 Geschäftsmodell-Varianten
Prüfung: Betreuer nimmt Geschäftsmodell ab";"0";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"AK-06";"Abnahmekriterium";"Dokumentation";"Alle Pflichtlieferobjekte (L-01 bis L-07) vollständig, fristgerecht und in akzeptabler Qualität im Dokumentenmanagementsystem (DMS) eingereicht. Checkliste: Konzept ✓, Marktanalyse ✓, Prototyp (GitHub-Link) ✓, Geschäftsmodell ✓, Systemarchitektur ✓, Deploymentanleitung ✓, Endbericht ✓. Kein Lieferobjekt unvollständig oder mit fehlenden Pflichtabschnitten.";"1) P1–P5 vollständig und im DMS abgelegt
2) Alle Dokumente fristgerecht eingereicht
3) Endbericht mind. 6 Seiten/Teilnehmer
4) Deploymentanleitung reproduzierbar
5) Betreuer bestätigt Vollständigkeit";"Prüfung: DMS-Checkliste → alle Dokumente vorhanden
Prüfung: Abgabedatum aus Studienordnung eingehalten
Prüfung: Seitenanzahl Endbericht ≥ 6 × Teamgröße
Prüfung: Betreuer-Abnahme dokumentiert";"0";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"AK-07";"Abnahmekriterium";"Präsentation";"Abschlusspräsentation (L-08) erfolgreich vor dem Bewertungskomitee durchgeführt. Abnahmekriterien: Zeitrahmen 40–45 Minuten eingehalten, alle Teammitglieder aktiv präsentiert, Live-Demo des Prototyps fehlerfrei durchgeführt, Fragen des Komitees kompetent und sachlich beantwortet, Präsentationsunterlagen fristgerecht im DMS hinterlegt.";"1) Dauer 40–45 Minuten eingehalten
2) Alle Projektziele präsentiert
3) Live-Demo des Prototyps erfolgreich
4) Alle Team-Mitglieder beteiligt
5) Prüfer-Fragen zufriedenstellend beantwortet";"Prüfung: Zeitnahme → 40–45 Minuten
T: Live-Demo: Login, DM, Video, Datei live
Prüfung: Teilnahme aller Mitglieder
Prüfung: Betreuer nimmt Abschlusspräsentation ab";"0";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"FA-01";"Funktionale Anforderung";"Messaging (Echtzeit)";"Echtzeit-Kommunikation über WebSocket-Protokoll. Unterstützt 1:1-Direktnachrichten, Gruppen-Direktnachrichten (bis 7 Teilnehmer) sowie kanalbasierte Kommunikation (öffentliche und private Channels). Nachrichten können mit Formatierung (Markdown), Emoji-Reaktionen, Dateianhängen und Thread-Antworten versehen werden. Persistente Speicherung in PostgreSQL.";"1) Nachricht erscheint beim Empfänger in < 500 ms
2) 1:1-DM, Gruppen-DM und Channel-Nachrichten möglich
3) Threads/Antworten werden unterstützt
4) Nachrichten bleiben nach Container-Neustart erhalten
5) Offline-Nachrichten werden nach Wiederverbindung zugestellt";"T1: Sende DM → Nachricht erscheint < 1s beim Empfänger
T2: Gruppen-DM mit 3 Usern → alle sehen Nachricht
T3: Channel-Nachricht → alle Mitglieder benachrichtigt
T4: Mattermost-Container neu starten → Nachrichten vorhanden
T5: User offline → Nachricht senden → nach Login zugestellt";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"FA-02";"Funktionale Anforderung";"Kanäle / Workspaces";"Hierarchische Struktur mit Teams (Workspaces) als oberster Ebene. Innerhalb eines Teams: öffentliche Kanäle (für alle Mitglieder sichtbar und beitretbar) und private Kanäle (nur für explizit eingeladene Mitglieder). Kanal-Beschreibungen, Topics und Purpose konfigurierbar. Archivierung deaktiviert den Kanal ohne Datenverlust.";"1) Öffentliche Kanäle für alle Team-Mitglieder sichtbar und beitretbar
2) Private Kanäle nur für eingeladene Mitglieder sichtbar
3) Mindestens 2 Teams (Workspaces) erstellbar
4) Kanal-Namen und -Beschreibungen konfigurierbar
5) Kanalarchivierung möglich";"T1: Öffentl. Kanal erstellen → User2 tritt ohne Einladung bei
T2: Privaten Kanal erstellen → User2 sieht Kanal nicht
T3: 2 Teams erstellen → User wechselt zwischen Teams
T4: Kanal umbenennen → neuer Name überall sichtbar
T5: Kanal archivieren → Inhalte noch lesbar, keine neuen Nachrichten";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
"FA-03";"Funktionale Anforderung";"Videokonferenzen";"Vollständig self-hosted Video- und Audiokonferenzen via Nextcloud Talk mit High Performance Backend (HPB). Unterstützt mindestens 10 gleichzeitige Teilnehmer mit Kamera- und Mikrofonübertragung sowie Bildschirmfreigabe (gesamter Bildschirm oder einzelne Anwendung). Gäste können per Link beitreten. SSO-Authentifizierung erfolgt automatisch über die Nextcloud-OIDC-Session (Keycloak). Keine Abhängigkeit zu externen Diensten. Kollaborative Dokumentenbearbeitung während laufender Calls über Collabora Online.";"1) Mindestens 10 gleichzeitige Teilnehmer unterstützt (via HPB)
2) Kamera-Übertragung funktioniert
3) Mikrofon-Übertragung funktioniert
4) Bildschirmfreigabe möglich
5) Meeting vollständig self-hosted (keine externen Dienste)
6) Meeting per Link teilbar (Gast-Zugang)
7) SSO ohne separaten Adapter (Nextcloud-OIDC-Session)";"T1: Talk-Konversation mit 2 Browsern → Video und Audio übertragen
T2: Bildschirmfreigabe starten → anderer Teilnehmer sieht Bildschirm
T3: DNS-Check → keine Anfragen an externe WebRTC/TURN-Dienste
T4: HPB Signaling-Server erreichbar (/api/v1/welcome)
T5: Konversations-Link kopieren → Gast-Beitritt ohne Login möglich";"1";"2026-03-30 03:49:12";"2026-03-30 03:49:12"
